n,trait,reversed,text
1,E,0,Yangi doʻstlar orttirish men uchun juda oson.
2,O,0,Tasavvurim juda kuchli.
3,A,0,Odamlarga osongina ishonaman.
4,N,0,Arzimas narsalarga ham koʻp xavotirlanaman.
5,C,0,Menga topshirilgan ishlarni koʻngildagidek uddalayman.
6,N,0,Sal narsaga ham jahlim chiqib ketadi.
7,E,0,Odam koʻp yigʻilgan gavjum joylarda boʻlishni yoqtiraman.
8,O,0,Sanʼat va ijod hayotimda muhim oʻrin tutadi.
9,A,1,Oʻz manfaatim uchun baʼzan boshqalardan foydalanib qolaman.
10,C,0,"Xonam va xonadonimni ozoda, yigʻishtirilgan tutaman."
11,N,0,"Tez-tez kayfiyatim tushib, gʻamgin boʻlib qolaman."
12,A,0,Men boshqalarga yordam berishni yaxshi koʻraman.
13,C,0,Har doim soʻzimda turaman va vaʼdamni bajaraman.
14,O,0,Men bir xillikdan koʻra xilma-xillikni afzal koʻraman.
15,O,0,Chuqur va fikrlashga majbur qiladigan kitoblarni yoqtiraman.
16,C,0,Har bir ishni boshlashdan oldin puxta reja tuzaman.
17,E,1,"Odamlarga birdan ochilib ketmayman, ichki dunyoyimni sir tutaman."
18,A,1,Boshqalarning nimani his qilayotgani menga unchalik qiziq emas.
19,A,0,Har qanday vaziyatda ham haqiqatni gapiraman.
20,E,1,Hayotim bir xil va biroz zerikarli kechayotgandek tuyuladi.
21,A,1,Oʻz fikrimni yetkazish uchun boshqalarning fikriga qarshi chiqaman.
22,C,0,Mendan kutilganidan ham koʻproq natija koʻrsatishga harakat qilaman.
23,N,0,Oʻzimdan va shaxsimdan koʻpincha qoniqmayman.
24,O,0,"Dunyo faqat ""fakt"" yoki ""xato""dan emas, balki turli qarashlardan iborat deb bilaman."
25,N,1,Avariya yoki mushkul ahvolda ham xotirjam qolaman.
26,E,1,"Oʻzim birinchi boʻlib qadam tashlamay, boshqalarning harakatini kutaman."
27,O,1,Sheʼr oʻqish yoki eshitish menga unchalik zavq bagʻishlamaydi.
28,C,1,"Xonam va shaxsiy buyumlarimni sochib, betartib qoldiraman."
29,N,1,Men kamdan-kam asabiylashaman.
30,C,1,Jamiyatda oʻrnatilgan tartib va qoidalarni chetlab oʻtaman.
31,E,0,Guruhda va jamoada yetakchilikni oʻz zimmamga olaman.
32,O,1,"Amaliy boʻlmagan, nazariy va falsafiy fikrlarni tushunish menga qiyin."
33,O,1,Nomaʼlum tajribalardan koʻra sinovdan oʻtgan eski usullarga tayanaman.
34,A,0,Qiyin ahvoldagi insonlarga chin dildan achinaman va hamdard boʻlaman.
35,C,1,"Yetti oʻlchab bir kesmay, tavakkaliga ish tutaman."
36,N,1,Kayfiyatim tushishi va xafa boʻlib yurishim juda kam uchraydi.
37,E,0,Yangi va tavakkalchilikka boy sarguzashtlarni yoqtiraman.
38,E,0,Hayotdan va har bir kundan chinakam zavq olaman.
39,N,1,"Noqulay vaziyatlarda ham xijolat boʻlib, tortinib oʻtirmayman."
40,O,1,Haddan tashqari taʼsirchan va hissiyotga beriluvchan odamlarni tushunishim qiyin.
41,A,1,Odamlarning harakati ortida doim yashirin bir manfaat bor deb shubhalanaman.
42,C,1,Bergan soʻzimda va vaʼdamda tura olmayman.
43,E,1,Odam koʻp va shovqin-suronli tadbirlarni yoqtirmayman.
44,N,0,"Muammolarim haqida oʻylayverib, uzoq vaqt ulardan chiqolmay qolaman."
45,E,1,Ishlarga katta gʻayrat va yuqori ishtiyoq bilan kirishmayman.
46,A,1,Jahlim chiqqanda boshqalarga ogʻir va haqoratli gaplar gapirib qoʻyaman.
47,N,1,Toʻsiqlar va hayotiy qiyinchiliklarni yengib oʻtish men uchun qiyin emas.
48,O,1,Kattalar va rahbarlarning qarorlariga soʻzsiz hurmat bilan qarash kerak deb bilaman.
49,A,0,Oʻzaro musobaqalashishdan koʻra ahillik bilan hamkorlik qilishni afzal bilaman.
50,C,1,Ishlarni shoshma-shosharlik bilan bajaraman.
